full_name;model;link;sku;brand_name;weight;price;primePrice;primePriceWithDiscount;oldPrice;oldPrimePrice;priceWithDiscount;discountPercentage;rating;ratingCount;available;warranty;date
placa-de-video-rtx-4070-ti-msi-geforce-super-ventus-3x-oc-16gb-gddr6x-256-bits-912-v513-627;rtx 4070 ti;https://www.kabum.com.br//produto/551592/placa-de-video-rtx-4070-ti-msi-geforce-super-ventus-3x-oc-16gb-gddr6x-256-bits-912-v513-627;551592;MSI;1800;6590.8;0;0;0;0;6590.8;0;0;0;True;;2024-04-25 03:36:29.337716
placa-de-video-rtx-4070-ti-super-gamingpro-oc-palit-nvidia-geforce-16gb-gddr6x-dlss-ray-trancing-g-sync-ned47tsh19t2-1043a;rtx 4070 ti;https://www.kabum.com.br//produto/520738/placa-de-video-rtx-4070-ti-super-gamingpro-oc-palit-nvidia-geforce-16gb-gddr6x-dlss-ray-trancing-g-sync-ned47tsh19t2-1043a;520738;PALIT;2168;6941.16;6705.87;5699.99;6941.16;6941.16;5899.99;15;0;0;True;24 meses de garantia;2024-04-25 03:36:29.337716
zotac-gaming-geforce-rtx-4070-ti-super-trinity-oc-white-edition-16gb-gddr6x-zt-d40730q-10p;rtx 4070 ti;https://www.kabum.com.br//produto/573498/zotac-gaming-geforce-rtx-4070-ti-super-trinity-oc-white-edition-16gb-gddr6x-zt-d40730q-10p;573498;Zotac;1500;9019.45;0;0;0;0;9019.45;0;0;0;True;;2024-04-25 03:36:29.337716
placa-de-video-palit-gamingpro-nvidia-rtx-4070-ti-12gb-gddr6x-192bits;rtx 4070 ti;https://www.kabum.com.br//produto/429932/placa-de-video-palit-gamingpro-nvidia-rtx-4070-ti-12gb-gddr6x-192bits;429932;PALIT;2580;5568.07;0;0;0;0;4899.9;12;0;0;True;;2024-04-25 03:36:29.337716
placa-de-video-nvidia-gigabyte-geforce-rtx-4070-ti-super-windforce-oc-16gb-gddr6x-256-bits-gv-n407tswf3oc-16gd;rtx 4070 ti;https://www.kabum.com.br//produto/538961/placa-de-video-nvidia-gigabyte-geforce-rtx-4070-ti-super-windforce-oc-16gb-gddr6x-256-bits-gv-n407tswf3oc-16gd;538961;Gigabyte;1380;8273.28;0;0;0;0;7032.29;15;0;0;True;;2024-04-25 03:36:29.337716
placa-de-video-rtx-4080-super-sg-galax-nvidia-geforce-16gb-gddr6x-dlss-ray-tracing-g-sync-48szm6md9rsg;rtx 4080;https://www.kabum.com.br//produto/518726/placa-de-video-rtx-4080-super-sg-galax-nvidia-geforce-16gb-gddr6x-dlss-ray-tracing-g-sync-48szm6md9rsg;518726;Galax;2998;8470.58;8216.46;6983.99;8470.58;8470.58;7199.99;15;5;1;True;12 meses de garantia;2024-04-25 03:36:49.843165
placa-de-video-rtx-4080-super-msi-16g-ventus-3x-oc-nvidia-geforce-16gb-gddr6x-dlss-ray-tracing;rtx 4080;https://www.kabum.com.br//produto/520528/placa-de-video-rtx-4080-super-msi-16g-ventus-3x-oc-nvidia-geforce-16gb-gddr6x-dlss-ray-tracing;520528;MSI;2156;9058.81;8787.05;7468.99;9058.81;9058.81;7699.99;15;5;2;True;12 meses de garantia;2024-04-25 03:36:49.843165
placa-de-video-rtx-4080-black-st-galax-nvidia-16gb-gddr6x-256-bits-3-dp-hdmi-2-1-dlss3-48nzm6md6lts;rtx 4080;https://www.kabum.com.br//produto/480640/placa-de-video-rtx-4080-black-st-galax-nvidia-16gb-gddr6x-256-bits-3-dp-hdmi-2-1-dlss3-48nzm6md6lts;480640;Galax;2960;7850;0;0;7850;7850;7850;0;0;0;True;;2024-04-25 03:36:49.843165
placa-de-video-rtx-4080-super-oc-gaming-verto-triple-fan-pny-nvidia-geforce-16gb-gddr6x-dlss-3-ray-tracing-vcg4080s16tfxpb1-o;rtx 4080;https://www.kabum.com.br//produto/520760/placa-de-video-rtx-4080-super-oc-gaming-verto-triple-fan-pny-nvidia-geforce-16gb-gddr6x-dlss-3-ray-tracing-vcg4080s16tfxpb1-o;520760;Pny;1966;8235.28;7988.22;6789.99;8235.28;8235.28;6999.99;15;0;0;True;36 meses de garantia;2024-04-25 03:36:49.843165
placa-de-video-rtx-4080-rog-strix-edition-asus-nvidia-geforce-16gb-gddr6x-argb-dlss-ray-tracing-branco-rog-strix-rtx4080-o16g-white;rtx 4080;https://www.kabum.com.br//produto/419112/placa-de-video-rtx-4080-rog-strix-edition-asus-nvidia-geforce-16gb-gddr6x-argb-dlss-ray-tracing-branco-rog-strix-rtx4080-o16g-white;419112;ASUS;3565;10588.22;10270.57;8729.98;10588.22;10588.22;8999.99;15;5;1;True;12 meses de garantia;2024-04-25 03:36:49.843165
